Time stamp,X,Y,Z,Activity ,X,Y,Z,Activity ,X,Y,Z,Activity ,X,Y,Z,Activity ,X,Y,Z,Activity 
0.22,-1.39,6.82,6.71,1,-5.44,7.27,3.45,2,8.98,-9.21,3.78,3,5.68,-2.95,-0.26,4,2.44,-8.56,0.12,5
0.24,-1.49,6.92,6.48,1,-5.59,7.27,3.52,2,9.34,-9.3,3.89,3,5.76,-4.41,1.31,4,5.46,-6.05,2.45,5
0.26,-1.6,6.93,6.57,1,-5.47,7.33,3.37,2,9.42,-9.98,3.62,3,5.13,-5.58,3.52,4,19.6,-3.73,7.59,5
0.28,-1.45,6.85,6.55,1,-5.46,7.3,3.62,2,8.1,-9.43,3.11,3,4.95,-7.35,5.47,4,19.61,-0.9,15.24,5
0.3,-1.48,6.9,6.72,1,-5.46,7.34,3.45,2,5.54,-8.17,2.58,3,4.91,-8.54,6.07,4,15.9,0.6,14.12,5
0.32,-1.52,6.98,6.61,1,-5.35,7.31,3.46,2,4.3,-7.99,1.92,3,5.43,-8.4,5.14,4,15.22,5.84,10.98,5
0.34,-1.17,6.84,6.76,1,-5.35,7.34,3.51,2,4.18,-7.78,0.86,3,7.67,-8.06,4.63,4,13.64,2.78,9.59,5
0.36,-1.5,6.94,6.47,1,-5.45,7.38,3.77,2,4.39,-7.24,0.5,3,12.79,-9.44,5.18,4,12.74,0.76,6.5,5
0.38,-1.4,6.85,6.78,1,-5.41,7.29,3.47,2,4.69,-7.09,0.23,3,13.24,-12.13,5,4,10.7,2.13,1.66,5
0.4,-1.54,7.09,7.27,1,-5.42,7.27,3.28,2,4.49,-6.83,0.49,3,10.81,-12.26,4.14,4,7.77,4.2,0.2,5
0.42,-1.51,6.6,6.83,1,-5.53,7.33,3.53,2,4.32,-6.35,1.08,3,7.94,-10.79,3.76,4,4.64,5.84,-0.22,5
0.44,-1.54,6.8,6.85,1,-5.52,7.51,3.51,2,4.19,-5.66,1.47,3,6.97,-11.11,2.74,4,2.94,6.4,-0.15,5
0.46,-1.58,6.78,6.65,1,-5.37,7.34,3.38,2,4.4,-5.32,1.79,3,5.87,-9.67,1.39,4,2.13,6.12,-0.11,5
0.48,-1.57,6.95,6.79,1,-5.43,7.32,3.54,2,4.67,-5.29,1.59,3,4.08,-6.67,1.02,4,1.59,5.45,0.33,5
0.5,-1.59,7,6.54,1,-5.42,7.33,3.23,2,4.78,-5.42,1.39,3,3.35,-4.86,1.45,4,1.98,4.77,0.69,5
0.52,-1.45,6.89,6.51,1,-5.32,7.34,3.51,2,4.91,-5.7,1.35,3,3.05,-3.53,1.93,4,2.85,4.7,0.95,5
0.54,-1.49,6.84,6.66,1,-5.38,7.09,3.45,2,4.91,-6.36,1.29,3,3.07,-2.35,2.23,4,4.26,4.11,1.32,5
0.56,-1.45,6.83,6.79,1,-5.46,7.35,3.61,2,4.99,-6.97,1.11,3,3.17,-1.74,2.06,4,6.83,3.33,2.18,5
0.58,-1.39,6.9,6.73,1,-5.44,7.18,3.51,2,5.42,-7.39,0.69,3,3.73,-2.17,1.78,4,15.49,1.71,3.83,5
0.6,-1.51,6.86,6.69,1,-5.49,7.34,3.45,2,5.4,-7.4,0.66,3,4.8,-3.57,0.9,4,19.61,1.87,5.94,5
0.62,-1.49,6.95,6.79,1,-5.45,7.38,3.34,2,5.44,-7.94,0.68,3,5.68,-5.91,-0.1,4,12.68,-0.04,8.76,5
0.64,-1.5,6.95,6.62,1,-5.43,7.34,3.46,2,5.75,-8.28,0.64,3,4.96,-7.32,-0.74,4,10.34,2.21,7.36,5
0.66,-1.44,6.75,6.7,1,-5.46,7.4,3.55,2,5.19,-8.54,0.79,3,3.59,-8.8,-1.26,4,17.47,3.8,6.33,5
0.68,-1.42,6.82,6.74,1,-5.39,7.35,3.48,2,5.21,-9.7,0.7,3,3.21,-9.72,-1.26,4,18.36,-1.4,7.49,5
0.7,-1.25,6.87,6.77,1,-5.4,7.22,3.51,2,5.3,-9.95,0.97,3,3.65,-9.28,-0.52,4,14.67,-4.59,8.51,5
0.72,-1.34,6.83,6.76,1,-5.45,7.36,3.59,2,6.37,-10.41,1.8,3,3.46,-9.28,-0.17,4,9.19,-2.08,4.38,5
0.74,-1.49,6.86,6.78,1,-5.44,7.42,3.51,2,6.36,-9.74,2.88,3,4.62,-11.47,1.36,4,5.87,-1.73,3.5,5
0.76,-1.6,7.12,7,1,-5.48,7.55,3.52,2,5.47,-8.4,4.74,3,8.3,-14.21,2.72,4,4.06,-2.62,4.09,5
0.78,-1.46,6.95,6.57,1,-5.45,7.4,3.74,2,5.68,-9.77,4.95,3,10.76,-12.95,6.83,4,2.3,-1.6,3.15,5
0.8,-1.51,6.88,6.79,1,-5.41,7.31,3.55,2,5.18,-10.04,4.35,3,9.92,-11.9,10.02,4,-0.91,-1.69,1.21,5
0.82,-1.64,6.86,6.79,1,-5.49,7.41,3.47,2,3.96,-9.51,3.24,3,8.07,-10.53,9.21,4,-1.81,-4.91,-0.83,5
0.84,-1.67,6.89,6.77,1,-5.46,7.4,3.38,2,3.28,-9.41,1.82,3,6.16,-10.75,5.59,4,-0.03,-9.94,-0.97,5
0.86,-1.67,7.13,6.71,1,-5.32,7.32,3.4,2,3.48,-8.23,1.38,3,3.79,-8.27,1.83,4,3.01,-10.86,1.46,5
0.88,-1.44,6.89,6.63,1,-5.47,7.38,3.53,2,3.85,-6.14,1.41,3,2.72,-4.84,1.03,4,3.73,-6.85,3.58,5
0.9,-1.54,6.93,6.62,1,-5.39,7.29,3.44,2,3.99,-4.91,1.42,3,2.95,-2.25,1.71,4,11.75,-3.18,8.92,5
0.92,-1.74,6.68,6.85,1,-5.46,7.24,3.49,2,4.34,-4.41,1.44,3,3.28,-0.6,1.57,4,19.61,-0.67,15.01,5
0.94,-1.55,6.99,6.6,1,-5.45,7.29,3.5,2,4.8,-4.16,1.41,3,3.36,0.13,0.78,4,19.61,1.31,14.31,5
0.96,-1.5,6.83,6.78,1,-5.49,7.27,3.62,2,5.34,-4.41,1.38,3,4.01,-0.26,-0.1,4,15.63,4.44,9.55,5
0.98,-1.37,6.88,6.66,1,-5.45,7.26,3.37,2,5.88,-4.87,1.33,3,5.2,-2,-0.61,4,12.38,2.27,8.88,5
1,-1.4,6.95,6.56,1,-5.38,7.32,3.46,2,6.23,-5.41,1.53,3,6.22,-4.21,-0.1,4,11.4,-0.29,7.3,5
1.02,-1.46,6.81,6.7,1,-5.59,7.3,3.48,2,6.65,-5.72,2.14,3,5.2,-5.58,1.63,4,10.68,0.68,4.2,5
1.04,-1.45,6.78,6.69,1,-5.4,7.28,3.63,2,6.45,-5.59,2.86,3,3.39,-7.38,3.84,4,8.38,3.09,2.08,5
1.06,-1.44,6.91,6.79,1,-5.41,7.44,3.49,2,6.24,-5.84,3.7,3,3.74,-9.2,4.8,4,6.05,4.8,2.05,5
1.08,-1.41,6.97,6.33,1,-5.47,7.19,3.5,2,6.88,-7.28,4,3,5.4,-9.4,4.82,4,5.15,6.05,1.15,5
1.1,-1.43,6.82,6.26,1,-5.5,7.26,3.43,2,7.08,-8.65,4.03,3,8.37,-9.14,4.33,4,3.17,6.48,-0.32,5
1.12,-1.75,6.78,6.62,1,-5.44,7.17,3.69,2,7.58,-8.89,4.04,3,13.79,-9.67,4.79,4,1.45,5.96,-0.31,5
1.14,-1.53,6.9,6.6,1,-5.43,7.33,3.59,2,8.44,-9.5,3.92,3,15.06,-11.55,4.91,4,0.99,4.78,0.22,5
1.16,-1.53,6.78,6.66,1,-5.52,7.32,3.63,2,8.56,-9.69,3.82,3,11.9,-12.22,4.63,4,2.21,4.33,0.7,5
1.18,-1.53,6.97,6.59,1,-5.43,7.3,3.49,2,9.24,-10.27,3.48,3,8.77,-10.82,4.26,4,3.75,3.66,0.72,5
1.2,-1.57,6.97,6.56,1,-5.43,7.27,3.46,2,8.07,-9.53,2.9,3,7.7,-10.53,3.29,4,5.14,2.94,0.97,5
1.22,-1.55,7.04,6.56,1,-5.65,7.29,3.47,2,5.95,-8.15,2.7,3,6.71,-9.35,1.97,4,7.64,3.02,2.54,5
1.24,-1.63,6.93,6.55,1,-5.49,7.48,3.53,2,5.05,-8.44,1.8,3,4.79,-6.68,0.83,4,17.42,0.02,4.98,5
1.26,-1.58,6.83,6.66,1,-5.45,7.27,3.86,2,4.92,-8.52,0.69,3,3.85,-4.87,0.72,4,19.61,-2.59,6.89,5
1.28,-1.43,6.86,6.68,1,-5.47,7.32,3.5,2,4.69,-8.24,0.18,3,3.42,-3.7,1.25,4,15.36,-1.81,9.5,5
1.3,-1.46,6.88,6.58,1,-5.4,7.33,3.49,2,4.74,-8.27,-0.12,3,3.51,-2.59,1.86,4,14.56,1.79,8.52,5
1.32,-1.46,6.93,6.81,1,-5.45,7.39,3.57,2,4.24,-7.57,0.38,3,3.71,-1.58,1.92,4,19.03,3.11,7.79,5
1.34,-1.37,6.98,6.79,1,-5.35,7.3,3.39,2,3.85,-6.74,1.01,3,3.95,-1.54,1.33,4,16.23,-2.29,9.09,5
1.36,-1.53,6.87,6.62,1,-5.4,7.23,3.39,2,3.69,-5.96,1.66,3,4.71,-2.64,0.5,4,12.82,-3.2,6.6,5
1.38,-1.51,6.67,6.62,1,-5.48,7.41,3.31,2,4.18,-5.58,2.02,3,5.04,-4.75,-0.57,4,8.05,-2.56,4.66,5
1.4,-1.47,6.94,6.75,1,-5.38,7.3,3.49,2,4.75,-5.24,2.04,3,4.49,-7.08,-1.13,4,4.81,-2.71,4.8,5
1.42,-1.57,6.87,6.74,1,-5.43,7.32,3.51,2,4.94,-5.12,2,3,3.63,-9.53,-1.65,4,2.31,-2.06,4.3,5
1.44,-1.46,6.95,6.73,1,-5.4,7.3,3.51,2,4.94,-5.27,2.02,3,2.74,-11.03,-2.15,4,-0.56,-1.91,1.93,5
1.46,-1.5,6.89,6.71,1,-5.43,7.36,3.41,2,5.04,-5.82,1.7,3,3,-10.26,-1.57,4,-3.13,-3.78,-1,5
1.48,-1.42,6.85,6.75,1,-5.5,7.27,3.51,2,5.26,-6.34,1.29,3,4.02,-9.54,-0.83,4,-3.36,-7.27,-2.06,5
1.5,-1.55,6.85,6.69,1,-5.43,7.25,3.51,2,5.09,-6.74,0.91,3,4.94,-10.64,0.5,4,-0.44,-10.24,-0.99,5
1.52,-1.54,6.91,6.67,1,-5.38,7.32,3.56,2,5.17,-7.02,0.66,3,7.43,-13.54,2.13,4,1.16,-9.93,0.07,5
1.54,-1.43,7.13,6.44,1,-5.24,7.38,3.43,2,5.61,-7.11,0.61,3,8.99,-12.56,5.98,4,3.47,-7.26,3,5
1.56,-1.48,6.86,6.87,1,-5.37,7.3,3.4,2,5.82,-7.86,0.34,3,9.84,-11,8.89,4,16.03,-5.89,8.51,5
1.58,-1.54,6.94,6.62,1,-5.44,7.36,3.5,2,5.48,-8.09,0.59,3,8.25,-8.55,8.85,4,19.61,-4.27,15.7,5
1.6,-1.63,6.69,7.11,1,-5.39,7.3,3.49,2,5.21,-8.74,0.81,3,6.35,-9.75,6.59,4,19.37,2.26,14.25,5
1.62,-1.54,6.84,6.9,1,-5.43,7.3,3.48,2,5.42,-9.4,1.2,3,4.32,-9.42,2.73,4,17.52,7.79,11.71,5
1.64,-1.45,6.73,6.9,1,-5.54,7.28,3.42,2,5.84,-9.49,1.61,3,3.17,-7.03,1.27,4,15.07,5.01,9.46,5
1.66,-1.61,7.12,6.8,1,-5.39,7.26,3.51,2,6.52,-9.95,2.26,3,3.07,-4.23,1.32,4,13.49,1.91,5.77,5
1.68,-1.48,6.85,6.65,1,-5.36,7.26,3.62,2,5.93,-8.88,3.25,3,3.39,-2.42,1.71,4,10.14,1.55,1.51,5
1.7,-1.47,6.72,6.86,1,-5.39,7.14,3.4,2,5.81,-9.3,4.52,3,3.49,-1.04,1.41,4,6.9,3.78,0.63,5
1.72,-1.46,6.83,6.66,1,-5.5,7.23,3.49,2,5.8,-11.11,4.15,3,3.43,-0.57,0.85,4,4.15,5.77,0.1,5
1.74,-1.45,6.87,6.25,1,-5.43,7.35,3.52,2,4.32,-10.59,3.96,3,4.31,-1.06,0.23,4,3.17,6.08,0.03,5
1.76,-1.49,6.87,6.89,1,-5.48,7.56,3.57,2,3.39,-9.92,2.78,3,5.8,-2.67,0.14,4,2.52,6.09,0.06,5
1.78,-1.53,6.56,6.75,1,-5.4,7.36,3.62,2,3.6,-8.99,1.63,3,6.33,-4.73,1.12,4,1.06,5.44,0.13,5
1.8,-1.65,6.69,6.8,1,-5.38,7.41,3.33,2,3.86,-6.86,1.57,3,5.25,-6.09,2.96,4,1.32,4.85,0.17,5
1.82,-1.55,6.89,6.61,1,-5.42,7.42,3.57,2,4.13,-5.24,1.5,3,4.61,-8.03,4.58,4,2.58,4.37,-0.02,5
1.84,-1.56,6.94,6.69,1,-5.42,7.51,3.63,2,4.33,-4.3,1.62,3,5.65,-8.67,5.29,4,4.57,3.62,-0.07,5
1.86,-1.73,6.9,6.62,1,-5.39,7.28,3.49,2,4.53,-3.8,1.81,3,6.78,-8.63,5.09,4,6.23,3.4,1.09,5
1.88,-1.55,6.88,6.64,1,-5.51,7.24,3.51,2,4.96,-3.87,1.68,3,10.11,-9.54,5.23,4,12.38,2.92,3.51,5
1.9,-1.51,6.84,6.83,1,-5.44,7.45,3.37,2,5.42,-4.5,1.55,3,14.49,-11.79,4.8,4,19.61,1.7,5.29,5
1.92,-1.53,6.76,6.79,1,-5.48,7.42,3.06,2,5.78,-4.97,1.38,3,12.62,-12.34,4.53,4,17.31,-1.98,8.01,5
1.94,-1.19,6.86,6.72,1,-5.48,7.27,3.68,2,6.36,-5.44,1.59,3,9.37,-10.17,4.64,4,11.64,-1.15,6.39,5
1.96,-1.44,7.14,6.95,1,-5.52,7.29,3.5,2,6.71,-6.08,2.19,3,8.01,-9.71,4.09,4,17.92,2.02,4.68,5
1.98,-1.3,6.84,6.65,1,-5.31,7.34,3.4,2,6.23,-6.21,3.11,3,7.7,-9.71,3,4,19.61,-0.6,6.45,5
2,-1.46,6.83,6.84,1,-5.47,7.41,3.6,2,6.16,-6.48,4.04,3,6.21,-7.79,1.66,4,14.92,-4.83,8.1,5
2.02,-1.53,6.99,6.67,1,-5.5,7.22,3.4,2,6.64,-7.87,4.39,3,4.63,-5.49,1.31,4,9.57,-2.13,4.56,5
2.04,-1.33,6.88,6.64,1,-5.43,7.3,3.5,2,7.27,-8.56,4.17,3,3.69,-3.96,1.52,4,6.08,-1.22,4,5
2.06,-1.49,6.85,6.78,1,-5.48,7.35,3.5,2,8.13,-8.41,3.89,3,3.28,-2.91,1.88,4,4.02,-1.75,5.2,5
2.08,-1.45,6.79,6.79,1,-5.4,7.43,3.72,2,8.74,-9.11,3.6,3,3.12,-1.94,1.96,4,1.81,-1.52,4.48,5
2.1,-1.48,6.83,6.95,1,-5.48,7.29,3.53,2,8.02,-9.14,3.46,3,3.5,-1.66,1.68,4,-0.86,-2.57,1.48,5
2.12,-1.42,6.78,6.79,1,-5.43,7.32,3.38,2,8.68,-9.74,3.3,3,4.43,-2.28,0.96,4,-1.82,-5.38,-0.69,5
2.14,-1.51,7.02,6.87,1,-5.41,7.25,3.52,2,7.97,-9.62,2.88,3,5.14,-3.96,0.09,4,-0.37,-8.82,0.02,5
2.16,-1.51,6.79,6.86,1,-5.65,7.35,3.35,2,6.19,-8.34,2.53,3,5.37,-5.93,-0.43,4,2.04,-8.3,1.35,5
2.18,-1.53,6.87,6.6,1,-5.47,7.53,3.38,2,5.44,-8.71,1.6,3,5.27,-7.73,-0.97,4,3.71,-4.83,2.98,5
2.2,-1.49,6.69,6.76,1,-5.45,7.4,3.45,2,4.75,-8.7,0.88,3,4.01,-9.37,-1.26,4,11.51,-2.17,6.92,5
2.22,-1.48,6.84,6.85,1,-5.45,7.49,3.36,2,4.45,-8.47,0.45,3,2.81,-10.18,-1.53,4,19.61,-2.87,12.76,5
2.24,-1.51,6.84,6.82,1,-5.57,7.43,3.51,2,4.55,-8.4,0.26,3,3.22,-9.44,-0.81,4,19.61,-0.81,14.46,5
2.26,-1.58,6.87,6.99,1,-5.5,7.02,3.58,2,4.32,-7.46,0.63,3,4.3,-9.22,-0.16,4,15.73,5.54,11.11,5
2.28,-1.67,6.69,6.8,1,-5.5,7.35,3.49,2,4.01,-6.3,1.39,3,6.74,-11.5,1.42,4,12.99,6.24,9.05,5
2.3,-1.46,6.78,6.85,1,-5.49,7.49,3.28,2,3.92,-5.59,2.13,3,9.73,-13.42,3.79,4,12.04,2.15,7.23,5
2.32,-1.52,6.89,6.74,1,-5.11,7.48,3.36,2,4.33,-5.18,2.47,3,10.74,-11.98,8.18,4,11.24,0.98,3.54,5
2.34,-1.58,6.96,6.41,1,-5.35,7.49,3.36,2,4.94,-4.8,2.55,3,9.36,-10.19,10.26,4,8.7,2.17,1.39,5
2.36,-1.54,6.76,6.79,1,-5.3,7.34,3.56,2,5.32,-4.47,2.5,3,7.19,-9.29,9.03,4,6.72,4.1,2.04,5
2.38,-1.58,6.92,6.38,1,-5.29,7.32,3.63,2,5.37,-4.78,2.36,3,5.87,-9.58,4.51,4,5.28,6.11,2.56,5
2.4,-1.57,6.81,6.88,1,-5.36,7.32,3.46,2,5.22,-5.56,1.86,3,3.79,-7.56,1.44,4,3.37,6.3,1.37,5
2.42,-1.46,6.86,6.74,1,-5.47,7.5,3.52,2,5.01,-6.19,1.49,3,2.88,-5.81,0.94,4,1.52,6.01,1.08,5
2.44,-1.53,6.92,6.74,1,-5.43,7.44,3.36,2,5.11,-6.85,1.05,3,2.67,-4.2,1.25,4,0.95,5.03,0.83,5
2.46,-1.59,6.74,6.83,1,-5.38,7.42,3.48,2,5.28,-7.21,0.62,3,2.98,-2.66,1.18,4,2.38,4.15,0.89,5
2.48,-1.6,6.95,6.47,1,-5.42,7.32,3.44,2,5.39,-7.58,0.38,3,3.32,-1.36,0.53,4,3.95,3.33,0.53,5
2.5,-1.62,6.9,6.8,1,-5.44,7.35,3.62,2,5.71,-8.17,0.24,3,3.78,-1.32,-0.18,4,4.99,2.08,0.34,5
2.52,-1.85,6.81,6.86,1,-5.51,7.23,3.46,2,5.32,-8.53,0.59,3,4.5,-2.13,-0.37,4,6.13,1.91,1.29,5
2.54,-1.61,6.84,6.76,1,-5.35,7.36,3.46,2,4.89,-8.93,1.09,3,5.03,-3.85,0.08,4,14.83,-0.51,3.17,5
2.56,-1.62,6.82,6.88,1,-5.36,7.32,3.5,2,4.92,-9.69,1.35,3,4.93,-5.44,1.19,4,19.61,-0.84,4.35,5
2.58,-1.53,6.92,6.62,1,-5.34,7.35,3.33,2,5.77,-10.16,1.82,3,5.43,-6.79,3.1,4,15.92,-1.57,7.81,5
2.6,-1.64,6.88,6.24,1,-5.54,7.37,3.54,2,6.18,-9.94,2.51,3,6.14,-8.24,5.14,4,15.28,0.01,8.66,5
2.62,-1.51,6.74,6.61,1,-5.4,7.45,3.26,2,5.59,-8.87,4.15,3,5.81,-8.08,6.11,4,19.02,1.87,6.88,5
2.64,-1.59,6.91,6.7,1,-5.43,7.54,3.44,2,5.81,-10.41,4.94,3,6.95,-8.19,5.76,4,17.57,-2.22,7.7,5
2.66,-1.47,6.87,6.68,1,-5.44,7.51,3.35,2,5.27,-11.09,4.68,3,13.41,-10.51,5.04,4,14.13,-4.41,7.74,5
2.68,-1.56,6.89,6.79,1,-5.45,7.39,3.29,2,3.97,-10.5,3.98,3,15.7,-13.08,5.27,4,10.09,-2.52,5.22,5
2.7,-1.56,6.83,7.07,1,-5.42,7.35,3.33,2,3.29,-10.11,2.24,3,11.56,-12.58,5.54,4,7.31,-1.81,4.55,5
2.72,-1.48,6.8,6.84,1,-5.45,7.47,3.48,2,3.48,-8.42,1.31,3,7.87,-10.57,4.66,4,4.4,-2.05,4.66,5
2.74,-1.57,6.86,6.64,1,-5.46,7.18,3.42,2,3.52,-6.03,1.41,3,6.87,-9.77,3.7,4,1.6,-2.28,3.63,5
2.76,-1.59,6.91,6.71,1,-5.24,7.39,3.34,2,3.64,-4.78,1.45,3,7.04,-9.35,2.22,4,-2.02,-4.41,0.91,5
2.78,-1.57,6.79,6.76,1,-5.17,7.46,3.38,2,3.84,-4.21,1.44,3,5.15,-6.58,1.54,4,-2.5,-7.35,-1.63,5
2.8,-1.55,6.88,6.68,1,-5.43,7.33,3.4,2,4.19,-3.97,1.25,3,4.01,-4.58,1.6,4,-0.27,-9.52,-1.63,5
2.82,-1.6,7.01,6.94,1,-5.41,7.33,3.48,2,4.86,-4.18,1.2,3,3.54,-3.27,1.9,4,1.12,-10.32,0.03,5
2.84,-1.43,6.71,6.75,1,-5.36,7.32,3.48,2,5.43,-4.49,1.29,3,3.33,-2.28,1.95,4,3.08,-9.01,1.83,5
2.86,-1.49,6.82,6.81,1,-5.34,7.48,3.61,2,6.03,-4.87,1.47,3,3.42,-1.41,1.76,4,11.34,-6.75,5.25,5
2.88,-1.86,6.74,6.78,1,-5.28,7.34,3.57,2,6.48,-5.35,1.94,3,3.72,-1.42,1.25,4,19.61,-3.91,11.89,5
2.9,-1.55,6.83,6.67,1,-5.39,7.36,3.46,2,6.92,-5.51,2.6,3,4.38,-2.05,0.65,4,19.61,-1.67,14.2,5
2.92,-1.55,6.87,6.54,1,-5.35,7.3,3.57,2,6.31,-5.62,3.43,3,4.93,-3.53,-0.03,4,16.69,6.1,11.6,5
2.94,-1.58,6.78,6.87,1,-5.42,7.42,3.23,2,6.73,-6.36,4.13,3,5.17,-5.81,-0.07,4,12.8,5.68,9.09,5
2.96,-1.58,6.94,7.36,1,-5.37,7.46,3.29,2,7.5,-7.89,4.49,3,5.11,-7.95,-0.55,4,12.29,1.04,7.54,5
2.98,-1.76,6.51,6.84,1,-5.43,7.33,3.5,2,7.9,-9.12,4.37,3,3.49,-9.64,-1,4,11.63,1.15,3.89,5
3,-1.56,6.71,6.65,1,-5.31,7.35,3.51,2,8.69,-9.78,3.88,3,3.31,-10.52,-0.63,4,9.97,3.73,2.25,5
3.02,-1.55,6.91,6.38,1,-5.36,7.26,3.54,2,9.33,-10.38,3.42,3,4.04,-10.46,-0.35,4,6.88,5.55,2.16,5
3.04,-1.54,6.58,6.79,1,-5.35,7.34,3.5,2,9.58,-10.66,3.59,3,4.53,-12.23,0.75,4,4.98,6.13,2.44,5
3.06,-1.62,6.91,6.59,1,-5.35,7.36,3.48,2,9.17,-10.23,3.27,3,7.63,-15.49,1.9,4,3.16,6.03,0.78,5
3.08,-1.77,6.78,6.79,1,-5.34,7.42,3.51,2,6.69,-8.23,2.94,3,8.21,-12.76,6.14,4,1.93,5.28,0.61,5
3.1,-1.57,6.79,6.77,1,-5.39,7.24,3.38,2,5.43,-8.15,2.05,3,8.41,-11.2,10.23,4,0.92,5,1.06,5
3.12,-1.54,6.85,6.76,1,-5.43,7.28,3.47,2,4.93,-8.32,0.9,3,7,-10.03,9.56,4,1.38,3.85,1.21,5
3.14,-1.56,6.81,6.61,1,-5.39,7.38,3.51,2,4.6,-8.16,0.34,3,5.8,-9.58,5.57,4,3.75,2.53,1.13,5
3.16,-1.53,6.87,6.69,1,-5.36,7.31,3.6,2,4.72,-8.23,0.14,3,3.89,-8.58,1.71,4,6.42,1.94,1.74,5
3.18,-1.59,6.85,6.72,1,-5.4,7.43,3.45,2,4.93,-7.93,0.46,3,2.89,-6.51,1.17,4,10.34,0.85,3.21,5
3.2,-1.65,6.65,7.16,1,-5.38,7.35,3.54,2,4.7,-6.9,1.08,3,3.08,-4.1,1.52,4,17.43,-0.95,4.35,5
3.22,-1.53,6.99,7.02,1,-5.38,7.26,3.52,2,4.57,-5.86,1.73,3,3.27,-2.23,1.64,4,15.61,-1.3,6.47,5
3.24,-1.59,6.85,6.84,1,-5.4,7.38,3.42,2,4.5,-4.96,2,3,3.33,-0.6,1.09,4,13.26,0.26,8.06,5
3.26,-1.57,6.86,6.7,1,-5.37,7.35,3.45,2,4.62,-4.59,2.07,3,3.58,-0.44,0.57,4,15.38,3.89,8.33,5
3.28,-1.45,6.81,6.86,1,-5.34,7.4,3.21,2,4.7,-4.71,1.93,3,4.61,-1.55,0.09,4,17.95,0.47,8,5
3.3,-1.5,6.79,6.8,1,-5.34,7.48,3.24,2,4.94,-5.03,1.74,3,5.7,-3.28,0.56,4,15.73,-4.8,8.55,5
3.32,-1.47,6.58,6.71,1,-5.37,7.43,3.51,2,5.09,-5.37,1.72,3,5.95,-5.13,1.81,4,12.79,-4.15,7.98,5
3.34,-1.62,6.82,6.74,1,-5.4,7.54,3.69,2,5.2,-6.1,1.55,3,5.06,-6.3,3.61,4,9.08,-2.18,5.34,5
3.36,-1.62,6.81,6.86,1,-5.34,7.39,3.45,2,5.17,-6.73,1.08,3,4.87,-8.17,5.33,4,7.27,-2.89,4.72,5
3.38,-1.44,7.03,6.89,1,-5.37,7.39,3.4,2,5.15,-7.08,0.56,3,5.43,-8.4,5.61,4,4.74,-3.17,4.36,5
3.4,-1.61,6.81,6.83,1,-5.37,7.32,3.45,2,5.47,-7.73,0.29,3,6.54,-8,5.1,4,1.78,-2.94,2.44,5
3.42,-1.48,6.75,6.91,1,-5.14,7.39,3.53,2,5.9,-8.8,-0.07,3,12.62,-10.84,5.44,4,-1.07,-3.82,-0.04,5
3.44,-1.56,6.89,6.83,1,-5.44,7.35,3.55,2,5.73,-8.86,0.04,3,15.38,-13.61,4.5,4,-1.39,-6.43,-1.46,5
3.46,-1.5,6.87,6.58,1,-5.32,7.33,3.47,2,5.42,-9.45,0.19,3,11.51,-13.24,4.58,4,-0.48,-9.8,-1.94,5
3.48,-1.51,6.81,7.35,1,-5.35,7.55,3.57,2,5.43,-9.97,0.56,3,8.29,-10.17,4.88,4,0.88,-10.59,-0.84,5
3.5,-1.64,7,7.19,1,-5.34,7.39,3.48,2,6.32,-10.06,1.21,3,7.05,-9.93,4.26,4,5.03,-8.59,2.51,5
